Date,Ticker Symbol,Close,Open,Volume
04-01-2010,AAPL,7.6432,7.6225,18241224
05-01-2010,AAPL,7.6564,7.6643,22082278
06-01-2010,AAPL,7.5346,7.6564,20396105
07-01-2010,AAPL,7.5207,7.5625,17628746
08-01-2010,AAPL,7.5707,7.5107,16553861
11-01-2010,AAPL,7.5039,7.6,17085997
12-01-2010,AAPL,7.4186,7.4711,21903456
13-01-2010,AAPL,7.5232,7.4239,22267060
14-01-2010,AAPL,7.4796,7.5039,15811930
15-01-2010,AAPL,7.3546,7.5332,21792710
19-01-2010,AAPL,7.68,7.4404,26597167
20-01-2010,AAPL,7.5616,7.6754,22433416
21-01-2010,AAPL,7.4311,7.5743,22339679
22-01-2010,AAPL,7.0625,7.385,32353278
25-01-2010,AAPL,7.2527,7.2325,39316161
26-01-2010,AAPL,7.355,7.3554,68057437
27-01-2010,AAPL,7.4244,7.3875,63634021
28-01-2010,AAPL,7.1175,7.3189,43123961
29-01-2010,AAPL,6.8594,7.1814,45971390
01-02-2010,AAPL,6.9546,6.8704,27576409
02-02-2010,AAPL,6.995,6.9968,25627574
03-02-2010,AAPL,7.1154,6.9704,22553343
04-02-2010,AAPL,6.8589,7.0261,27796720
05-02-2010,AAPL,6.9807,6.8795,31211996
08-02-2010,AAPL,6.9329,6.9889,17568306
09-02-2010,AAPL,7.0068,7.015,23130192
10-02-2010,AAPL,6.9684,6.9961,13886651
11-02-2010,AAPL,7.0954,6.96,20170465
12-02-2010,AAPL,7.1564,7.0754,23899479
16-02-2010,AAPL,7.2643,7.2121,19861692
17-02-2010,AAPL,7.2339,7.2925,15976141
18-02-2010,AAPL,7.2474,7.2011,15451881
19-02-2010,AAPL,7.2025,7.2093,15186275
22-02-2010,AAPL,7.1577,7.2264,14292683
23-02-2010,AAPL,7.0378,7.1429,20973110
24-02-2010,AAPL,7.1663,7.0796,16857464
25-02-2010,AAPL,7.2143,7.0493,24323109
26-02-2010,AAPL,7.3079,7.2279,18495264
01-03-2010,AAPL,7.4639,7.3482,20167640
02-03-2010,AAPL,7.4589,7.4975,20646228
03-03-2010,AAPL,7.4761,7.4621,13650536
04-03-2010,AAPL,7.5254,7.4743,13415703
05-03-2010,AAPL,7.8196,7.6764,33067131
08-03-2010,AAPL,7.8243,7.8575,15859399
09-03-2010,AAPL,7.965,7.7968,33547308
10-03-2010,AAPL,8.03,7.9939,21794275
11-03-2010,AAPL,8.0536,7.9968,14862442
12-03-2010,AAPL,8.0929,8.1204,15240222
15-03-2010,AAPL,7.9943,8.0493,18067401
16-03-2010,AAPL,8.0161,8.0064,16323981
17-03-2010,AAPL,8.0043,8.0321,16481121
18-03-2010,AAPL,8.0232,8.0036,12575771
19-03-2010,AAPL,7.9375,8.0282,20532679
22-03-2010,AAPL,8.0268,7.8739,16726458
23-03-2010,AAPL,8.1557,8.0586,22018437
24-03-2010,AAPL,8.1918,8.13,21782020
25-03-2010,AAPL,8.0946,8.2471,19886378
26-03-2010,AAPL,8.2464,8.1768,23416104
29-03-2010,AAPL,8.2996,8.3214,19811377
30-03-2010,AAPL,8.423,8.4501,19425617
31-03-2010,AAPL,8.3929,8.4104,15807603
01-04-2010,AAPL,8.4275,8.4818,22189562
05-04-2010,AAPL,8.5175,8.392,25113739
06-04-2010,AAPL,8.555,8.5071,16382984
07-04-2010,AAPL,8.5929,8.5614,22995751
08-04-2010,AAPL,8.5696,8.5871,20945986
09-04-2010,AAPL,8.6354,8.6225,12249340
12-04-2010,AAPL,8.6532,8.65,12219470
