Date,Close
4-1-2010,1132.9900
5-1-2010,1136.5200
6-1-2010,1137.1400
7-1-2010,1141.6900
8-1-2010,1144.9800
11-1-2010,1146.9800
12-1-2010,1136.2200
13-1-2010,1145.6800
14-1-2010,1148.4600
15-1-2010,1136.0300
19-1-2010,1150.2300
20-1-2010,1138.0400
21-1-2010,1116.4800
22-1-2010,1091.7600
25-1-2010,1096.7800
26-1-2010,1092.1700
27-1-2010,1097.5000
28-1-2010,1084.5300
29-1-2010,1073.8700
1-2-2010,1089.1900
2-2-2010,1103.3200
3-2-2010,1097.2800
4-2-2010,1063.1100
5-2-2010,1066.1900
8-2-2010,1056.7400
9-2-2010,1070.5200
10-2-2010,1068.1300
11-2-2010,1078.4700
12-2-2010,1075.5100
16-2-2010,1094.8700
17-2-2010,1099.5100
18-2-2010,1106.7500
19-2-2010,1109.1700
22-2-2010,1108.0100
23-2-2010,1094.6000
24-2-2010,1105.2400
25-2-2010,1102.9400
26-2-2010,1104.4900
1-3-2010,1115.7100
2-3-2010,1118.3100
3-3-2010,1118.7900
4-3-2010,1122.9700
5-3-2010,1138.7000
8-3-2010,1138.5000
9-3-2010,1140.4500
10-3-2010,1145.6100
11-3-2010,1150.2400
12-3-2010,1149.9900
15-3-2010,1150.5100
16-3-2010,1159.4600
17-3-2010,1166.2100
18-3-2010,1165.8300
19-3-2010,1159.9000
22-3-2010,1165.8100
23-3-2010,1174.1700
24-3-2010,1167.7200
25-3-2010,1165.7300
26-3-2010,1166.5900
29-3-2010,1173.2200
30-3-2010,1173.2700
31-3-2010,1169.4300
1-4-2010,1178.1000
5-4-2010,1187.4400
6-4-2010,1189.4400
7-4-2010,1182.4500
8-4-2010,1186.4400
9-4-2010,1194.3700
12-4-2010,1196.4800
13-4-2010,1197.3000
14-4-2010,1210.6500
15-4-2010,1211.6700
16-4-2010,1192.1300
19-4-2010,1197.5200
20-4-2010,1207.1700
21-4-2010,1205.9400
22-4-2010,1208.6700
23-4-2010,1217.2800
26-4-2010,1212.0500
27-4-2010,1183.7100
28-4-2010,1191.3600
29-4-2010,1206.7800
30-4-2010,1186.6900
3-5-2010,1202.2600
4-5-2010,1173.6000
5-5-2010,1165.9000
6-5-2010,1128.1500
7-5-2010,1110.8800
10-5-2010,1159.7300
11-5-2010,1155.7900
12-5-2010,1171.6700
13-5-2010,1157.4400
14-5-2010,1135.6800
17-5-2010,1136.9400
18-5-2010,1120.8000
19-5-2010,1115.0500
20-5-2010,1071.5900
21-5-2010,1087.6900
24-5-2010,1073.6500
25-5-2010,1074.0300
26-5-2010,1067.9500
27-5-2010,1103.0600
28-5-2010,1089.4100
1-6-2010,1070.7100
2-6-2010,1098.3800
3-6-2010,1102.8300
4-6-2010,1064.8800
7-6-2010,1050.4700
8-6-2010,1062.0000
9-6-2010,1055.6900
10-6-2010,1086.8400
11-6-2010,1091.6000
14-6-2010,1089.6300
15-6-2010,1115.2300
16-6-2010,1114.6100
17-6-2010,1116.0400
18-6-2010,1117.5100
21-6-2010,1113.2000
22-6-2010,1095.3100
23-6-2010,1092.0400
24-6-2010,1073.6900
25-6-2010,1076.7600
28-6-2010,1074.5700
29-6-2010,1041.2400
30-6-2010,1030.7100
1-7-2010,1027.3700
2-7-2010,1022.5800
6-7-2010,1028.0600
7-7-2010,1060.2700
8-7-2010,1070.2500
9-7-2010,1077.9600
12-7-2010,1078.7500
13-7-2010,1095.3400
14-7-2010,1095.1700
15-7-2010,1096.4800
16-7-2010,1064.8800
19-7-2010,1071.2500
20-7-2010,1083.4800
21-7-2010,1069.5900
22-7-2010,1093.6700
23-7-2010,1102.6600
26-7-2010,1115.0100
27-7-2010,1113.8400
28-7-2010,1106.1300
29-7-2010,1101.5300
30-7-2010,1101.6000
2-8-2010,1125.8600
3-8-2010,1120.4600
4-8-2010,1127.2400
5-8-2010,1125.8100
6-8-2010,1121.6400
9-8-2010,1127.7900
10-8-2010,1121.0600
11-8-2010,1089.4700
12-8-2010,1083.6100
13-8-2010,1079.2500
16-8-2010,1079.3800
17-8-2010,1092.5400
18-8-2010,1094.1600
19-8-2010,1075.6300
20-8-2010,1071.6900
23-8-2010,1067.3600
24-8-2010,1051.8700
25-8-2010,1055.3300
26-8-2010,1047.2200
27-8-2010,1064.5900
30-8-2010,1048.9200
31-8-2010,1049.3300
1-9-2010,1080.2900
2-9-2010,1090.1000
3-9-2010,1104.5100
7-9-2010,1091.8400
8-9-2010,1098.8700
9-9-2010,1104.1800
10-9-2010,1109.5500
13-9-2010,1121.9000
14-9-2010,1121.1000
15-9-2010,1125.0700
16-9-2010,1124.6600
17-9-2010,1125.5900
20-9-2010,1142.7100
21-9-2010,1139.7800
22-9-2010,1134.2800
23-9-2010,1124.8300
24-9-2010,1148.6700
27-9-2010,1142.1600
28-9-2010,1147.7000
29-9-2010,1144.7300
30-9-2010,1141.2000
1-10-2010,1146.2400
4-10-2010,1137.0300
5-10-2010,1160.7500
6-10-2010,1159.9700
7-10-2010,1158.0600
8-10-2010,1165.1500
11-10-2010,1165.3200
12-10-2010,1169.7700
13-10-2010,1178.1000
14-10-2010,1173.8100
15-10-2010,1176.1900
18-10-2010,1184.7100
19-10-2010,1165.9000
20-10-2010,1178.1700
21-10-2010,1180.2600
22-10-2010,1183.0800
25-10-2010,1185.6200
26-10-2010,1185.6400
27-10-2010,1182.4500
28-10-2010,1183.7800
29-10-2010,1183.2600
1-11-2010,1184.3800
2-11-2010,1193.5700
3-11-2010,1197.9600
4-11-2010,1221.0600
5-11-2010,1225.8500
8-11-2010,1223.2500
9-11-2010,1213.4000
10-11-2010,1218.7100
11-11-2010,1213.5400
12-11-2010,1199.2100
15-11-2010,1197.7500
16-11-2010,1178.3400
17-11-2010,1178.5900
18-11-2010,1196.6900
19-11-2010,1199.7300
22-11-2010,1197.8400
23-11-2010,1180.7300
24-11-2010,1198.3500
26-11-2010,1189.4000
29-11-2010,1187.7600
30-11-2010,1180.5500
1-12-2010,1206.0700
2-12-2010,1221.5300
3-12-2010,1224.7100
6-12-2010,1223.1200
7-12-2010,1223.7500
8-12-2010,1228.2800
9-12-2010,1233.0000
10-12-2010,1240.4000
13-12-2010,1240.4600
14-12-2010,1241.5900
15-12-2010,1235.2300
16-12-2010,1242.8700
17-12-2010,1243.9100
20-12-2010,1247.0800
21-12-2010,1254.6000
22-12-2010,1258.8400
23-12-2010,1256.7700
27-12-2010,1257.5400
28-12-2010,1258.5100
29-12-2010,1259.7800
30-12-2010,1257.8800
31-12-2010,1257.6400
3-1-2011,1271.8700
4-1-2011,1270.2000
5-1-2011,1276.5600
6-1-2011,1273.8500
7-1-2011,1271.5000
10-1-2011,1269.7500
11-1-2011,1274.4800
12-1-2011,1285.9600
13-1-2011,1283.7600
14-1-2011,1293.2400
18-1-2011,1295.0200
19-1-2011,1281.9200
20-1-2011,1280.2600
21-1-2011,1283.3500
24-1-2011,1290.8400
25-1-2011,1291.1800
26-1-2011,1296.6300
27-1-2011,1299.5400
28-1-2011,1276.3400
31-1-2011,1286.1200
1-2-2011,1307.5900
2-2-2011,1304.0300
3-2-2011,1307.1000
4-2-2011,1310.8700
7-2-2011,1319.0500
8-2-2011,1324.5700
9-2-2011,1320.8800
10-2-2011,1321.8700
11-2-2011,1329.1500
14-2-2011,1332.3200
15-2-2011,1328.0100
16-2-2011,1336.3200
17-2-2011,1340.4300
18-2-2011,1343.0100
22-2-2011,1315.4400
23-2-2011,1307.4000
24-2-2011,1306.1000
25-2-2011,1319.8800
28-2-2011,1327.2200
1-3-2011,1306.3300
2-3-2011,1308.4400
3-3-2011,1330.9700
4-3-2011,1321.1500
7-3-2011,1310.1300
8-3-2011,1321.8200
9-3-2011,1320.0200
10-3-2011,1295.1100
11-3-2011,1304.2800
14-3-2011,1296.3900
15-3-2011,1281.8700
16-3-2011,1256.8800
17-3-2011,1273.7200
18-3-2011,1279.2000
21-3-2011,1298.3800
22-3-2011,1293.7700
23-3-2011,1297.5400
24-3-2011,1309.6600
25-3-2011,1313.8000
28-3-2011,1310.1900
29-3-2011,1319.4400
30-3-2011,1328.2600
31-3-2011,1325.8300
1-4-2011,1332.4100
4-4-2011,1332.8700
5-4-2011,1332.6300
6-4-2011,1335.5400
7-4-2011,1333.5100
8-4-2011,1328.1700
11-4-2011,1324.4600
12-4-2011,1314.1600
13-4-2011,1314.4100
14-4-2011,1314.5200
15-4-2011,1319.6800
18-4-2011,1305.1400
19-4-2011,1312.6200
20-4-2011,1330.3600
21-4-2011,1337.3800
25-4-2011,1335.2500
26-4-2011,1347.2400
27-4-2011,1355.6600
28-4-2011,1360.4800
29-4-2011,1363.6100
2-5-2011,1361.2200
3-5-2011,1356.6200
4-5-2011,1347.3200
5-5-2011,1335.1000
6-5-2011,1340.2000
9-5-2011,1346.2900
